ID,Check-in,Check-out,Noches,Adultos,Niños,Habitación,Tipo,Habitación_ID,Precio,Moneda,Fuente,URL_Airbnb,Teléfono
30266,"2025-10-20","2025-10-25",5,3,0,"N/A","N/A",316,0,"COP","Airbnb","",""
30260,"2025-10-19","2025-10-22",3,2,1,"N/A","N/A",322,0,"COP","Airbnb","",""
30243,"2025-11-05","2025-11-15",10,2,1,"N/A","N/A",337,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMFYJRTJ38","8216"
30245,"2025-11-19","2025-11-23",4,2,1,"N/A","N/A",337,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMKP3FS3ST","0907"
30247,"2025-12-04","2025-12-07",3,2,1,"N/A","N/A",337,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMC45KERZJ","6164"
30249,"2025-12-27","2026-01-03",6,2,1,"N/A","N/A",337,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMX3JMX8CK","8447"
30251,"2026-01-03","2026-01-06",3,2,1,"N/A","N/A",337,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMRMMEYH4B","3969"
30253,"2026-01-26","2026-01-31",5,2,1,"N/A","N/A",337,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM48FPK4Z4","6955"
30255,"2026-04-16","2026-10-19",33,2,1,"N/A","N/A",337,0,"COP","Airbnb","",""
30241,"2025-10-18","2025-10-21",3,2,1,"N/A","N/A",337,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMATD59HQ2","0084"
30225,"2026-02-22","2026-02-23",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30227,"2026-03-01","2026-03-02",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30229,"2026-03-10","2026-03-11",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30231,"2026-03-17","2026-03-18",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30233,"2026-03-23","2026-03-24",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30235,"2026-04-10","2026-04-11",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30237,"2026-04-15","2026-04-16",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30239,"2026-10-18","2026-10-19",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30209,"2025-12-26","2025-12-27",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30211,"2026-01-05","2026-01-07",2,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30213,"2026-01-15","2026-01-16",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30215,"2026-01-19","2026-01-20",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30217,"2026-01-27","2026-01-28",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30219,"2026-02-02","2026-02-03",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30221,"2026-02-11","2026-02-12",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30223,"2026-02-18","2026-02-19",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30193,"2025-11-04","2025-11-05",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30195,"2025-11-09","2025-11-10",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30197,"2025-11-17","2025-11-18",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30199,"2025-11-25","2025-11-26",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30201,"2025-11-30","2025-12-01",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30203,"2025-12-08","2025-12-09",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30205,"2025-12-12","2025-12-13",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30207,"2025-12-19","2025-12-20",1,6,5,"N/A","N/A",10082,0,"COP","Airbnb","",""
30165,"2025-11-05","2025-11-09",4,6,5,"N/A","N/A",10082,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMN8J8TYHR","7031"
